tier,case_id,model_full,model,status,judge_status,rc,lf,gf,total,num_tool_calls,prompt_tokens,completion_tokens,tokens,cost_estimated_usd,cost_reported_usd,cost_source,elapsed_s
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,8127,1229,9356,0.0,0.0,unknown,25.378682851791382
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,1,0,2,5,16784,529,17313,0.0,0.0,unknown,19.37579035758972
2,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,4,10572,87,10659,0.0,0.0027735,unknown,3.803338050842285
2,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,6,15483,1406,16889,0.0,0.0,unknown,196.3634204864502
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,8,4524,55,4579,0.0,0.0,unknown,24.714234828948975
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,12,5063,700,5763,0.0,0.022886249999999997,unknown,18.74807119369507
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,1,0,1,2,4,2824,4525,7349,0.0,0.0,unknown,112.291836977005
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,17,3570,1731,5301,0.0,0.28640000000000004,unknown,56.393794775009155
3,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,1,0,2,3,2562,1248,3810,0.0,0.0,unknown,13.838428020477295
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,1,1,3,9,36302,2295,38597,0.0,0.0634137,unknown,47.47169089317322
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,2,4213,525,4738,0.0,0.00184075,unknown,5.94547700881958
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,0,0,1,591,1072,1663,0.0,0.0,unknown,10.67599606513977
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,7,12816,1597,14413,0.0,0.0,unknown,263.7213635444641
1,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,1,1,3,5,12341,666,13007,0.0,0.0,unknown,12.452191352844238
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,1,1,3,12,57019,1864,58883,0.0,0.19901700000000003,unknown,53.01616072654724
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,8,27828,847,28675,0.0,0.006416699999999999,unknown,38.6590416431427
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,4,9273,1058,10331,0.0,0.0,unknown,26.59498143196106
2,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,1,1,3,9,29537,643,30180,0.0,0.0,unknown,55.58420419692993
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,1,1,3,32,8871,1435,10306,0.0,0.0,unknown,125.3119957447052
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,19,5075,660,5735,0.0,0.036012749999999996,unknown,33.017563819885254
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,1,1,2,2,2692,1998,4690,0.0,0.0,unknown,39.67993760108948
3,juliet-cwe122-char-type-overrun-memcpy-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,14,3688,1909,5597,0.0,0.4026100000000001,unknown,63.757408618927
1,juliet-cwe126-char-alloca-loop-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,0,0,0,0,0.0,0.0,unknown,248.96109867095947
1,juliet-cwe126-char-alloca-loop-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,1,1,2,3,9825,645,10470,0.0,0.0034237499999999997,unknown,230.57666683197021
1,juliet-cwe126-char-alloca-loop-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,0,0,1,591,834,1425,0.0,0.0,unknown,6.623866558074951
1,juliet-cwe126-char-alloca-loop-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,10146,1336,11482,0.0,0.0,unknown,27.429574251174927
1,juliet-cwe126-char-alloca-loop-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,5,19632,127,19759,0.0,0.0,unknown,23.097548961639404
2,juliet-cwe126-char-alloca-loop-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,0,0,0,0,0.0,0.0,unknown,252.21156096458435
2,juliet-cwe126-char-alloca-loop-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,10,56835,691,57526,0.0,0.008866949999999998,unknown,43.92167329788208
2,juliet-cwe126-char-alloca-loop-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,0,1,1,2,6,24645,1358,26003,0.0,0.0,unknown,33.61973309516907
3,juliet-cwe126-char-alloca-loop-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,1,1,3,92,15337,1255,16592,0.0,0.0,unknown,216.77531695365906
3,juliet-cwe126-char-alloca-loop-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,1,3,32,4084,603,4687,0.0,0.052941,unknown,39.77085733413696
3,juliet-cwe126-char-alloca-loop-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,1,1,1,3,9,2643,6282,8925,0.0,0.0,unknown,157.69271159172058
3,juliet-cwe126-char-alloca-loop-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,53,6236,1772,8008,0.0,2.1707199999999998,unknown,161.17586183547974
3,juliet-cwe126-char-alloca-loop-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,1,1,3,21,3771,1695,5466,0.0,0.0,unknown,61.467824935913086
1,juliet-cwe415-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,0,0,0,0,0.0,0.0,unknown,248.86223220825195
1,juliet-cwe415-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,2,6270,429,6699,0.0,0.0022110000000000003,unknown,4.544524669647217
1,juliet-cwe415-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,0,0,1,591,1086,1677,0.0,0.0,unknown,10.043734550476074
1,juliet-cwe415-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,9780,1109,10889,0.0,0.0,unknown,22.783849477767944
2,juliet-cwe415-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,0,0,0,0,0.0,0.0,unknown,249.31301617622375
2,juliet-cwe415-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,1,3,3,8154,235,8389,0.0,0.002391,unknown,3.481990337371826
2,juliet-cwe415-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,1,1,1,3,3,9211,1016,10227,0.0,0.0,unknown,8.542364358901978
2,juliet-cwe415-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,4,12649,916,13565,0.0,0.0,unknown,28.819457292556763
2,juliet-cwe415-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,0,1,3,8058,396,8454,0.0,0.0,unknown,5.639339208602905
3,juliet-cwe415-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,29,3350,505,3855,0.0,0.039431999999999995,unknown,29.531409740447998
3,juliet-cwe415-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,1,1,1,3,8,2548,2302,4850,0.0,0.0,unknown,37.40586495399475
3,juliet-cwe415-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,35,5899,1306,7205,0.0,1.5842350000000003,unknown,107.67934918403625
1,juliet-cwe416-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,0,0,0,0,0.0,0.0,unknown,248.680894613266
1,juliet-cwe416-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,0,1,1,2,7110,455,7565,0.0,0.00246,unknown,3.9232795238494873
1,juliet-cwe416-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,1,1,1,591,1137,1728,0.0,0.0,unknown,10.421849489212036
1,juliet-cwe416-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,4,12075,1157,13232,0.0,0.0,unknown,25.868710041046143
1,juliet-cwe416-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,5,19265,127,19392,0.0,0.0,unknown,134.4376814365387
2,juliet-cwe416-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,0,0,0,0,0.0,0.0,unknown,250.50692772865295
2,juliet-cwe416-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,4,12996,881,13877,0.0,0.0,unknown,27.16273331642151
3,juliet-cwe416-malloc-free-char-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,1,1,3,54,12937,1558,14495,0.0,0.0,unknown,148.0361614227295
3,juliet-cwe416-malloc-free-char-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,1,3,29,3551,429,3980,0.0,0.03928725,unknown,31.576476097106934
3,juliet-cwe416-malloc-free-char-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,no_prose_synthesis,0,0,0,0,4,0,0,0,0.0,0.0,unknown,0.0
3,juliet-cwe416-malloc-free-char-01,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,29,5831,1862,7693,0.0,1.3511750000000005,unknown,101.41522002220154
3,juliet-cwe416-malloc-free-char-01,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,no_prose_synthesis,0,0,0,0,4,1421,19,1440,0.0,0.0,unknown,6.797643661499023
