run_id,case_id,model,tool_config,context_lines,tier,trial,status,elapsed_s,exit_code,root_cause,local_fix,global_fix,judge_status,judge_model,mut_input_tokens,mut_output_tokens,num_tool_calls,tool_frequency_json,total_code_length
crashbench-abo2__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,crashbench-abo2,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,ok,167.248,0,,,,,,7301,1810,19,"{""bt"": 1, ""info"": 5, ""pwd"": 1, ""shell"": 1, ""code"": 3, ""list"": 2, ""break"": 1, ""start"": 1, ""run"": 1, ""disassemble"": 1, ""print"": 1, ""x/30i"": 1}",1950
crashbench-abo2__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,ok,36.028,0,,,,,,4406,977,7,"{""info"": 2, ""list"": 2, ""disassemble"": 1, ""print"": 1, ""code"": 1}",670
crashbench-abo2__tier4__haiku__tier4_claude_code__ctx10__t1,crashbench-abo2,haiku,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo2__tier4__sonnet__tier4_claude_code__ctx10__t1,crashbench-abo2,sonnet,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo3__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,10,1,1,ok,271.268,0,,,,,,25991,1788,7,"{""ls"": 1, ""cat"": 2, ""prog"": 1, ""gdb"": 1, ""echo"": 2}",0
crashbench-abo3__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,10,1,1,ok,12.098,0,,,,,,3694,360,2,"{""ls"": 1, ""echo"": 1}",0
crashbench-abo3__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,crashbench-abo3,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,293.466,-1,,,,,,0,0,0,,0
crashbench-abo3__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,crashbench-abo3,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,timeout,294.227,-1,,,,,,0,0,0,,0
crashbench-abo3__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,timeout,294.256,-1,,,,,,0,0,0,,0
crashbench-abo3__tier2__openrouter_anthropic_claude-sonnet-4.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,10,2,1,timeout,294.451,-1,,,,,,0,0,0,,0
crashbench-abo3__tier2__openrouter_google_gemini-3.1-flash-lite-preview__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,10,2,1,ok,11.975,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,9768,250,4,"{""nl"": 1, ""run"": 1, ""echo"": 2}",0
crashbench-abo3__tier2__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo3,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,10,2,1,timeout,293.761,-1,,,,,,0,0,0,,0
crashbench-abo3__tier2__openrouter_openai_gpt-5.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo3,openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,10,2,1,ok,43.352,0,,,,,,13562,1056,5,"{""nl"": 1, ""run"": 1, ""break"": 1, ""print"": 1, ""echo"": 1}",0
crashbench-abo3__tier2__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,10,2,1,ok,28.166,0,,,,,,10494,850,4,"{""nl"": 1, ""run"": 1, ""frame"": 1, ""echo"": 1}",0
crashbench-abo3__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,tier3_gdb_only.json,10,3,1,ok,107.677,0,,,,,,7102,1446,21,"{""info"": 9, ""backtrace"": 1, ""run"": 1, ""where"": 1, ""list"": 2, ""code"": 2, ""break"": 1, ""start"": 1, ""frame"": 1, ""show"": 1, ""help"": 1}",1040
crashbench-abo3__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,tier3_gdb_only.json,10,3,1,ok,51.987,0,,,,,,12496,595,30,"{""run"": 7, ""start"": 1, ""shell"": 3, ""list"": 2, ""code"": 2, ""break"": 4, ""b"": 4, ""info"": 3, ""help"": 1, ""set"": 2, ""disassemble"": 1}",396
crashbench-abo3__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,crashbench-abo3,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,ok,42.506,0,,,,,,0,0,0,{},0
crashbench-abo3__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,crashbench-abo3,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,ok,74.501,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,0,0,10,"{""bt"": 1, ""info"": 3, ""pwd"": 1, ""shell"": 1, ""code"": 3, ""break"": 1}",0
crashbench-abo3__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,ok,49.536,0,,,,,,3539,25,4,"{""info"": 2, ""bt"": 1, ""list"": 1}",0
crashbench-abo3__tier4__haiku__tier4_claude_code__ctx10__t1,crashbench-abo3,haiku,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo3__tier4__sonnet__tier4_claude_code__ctx10__t1,crashbench-abo3,sonnet,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo5__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,10,1,1,ok,77.94,0,,,,,,34416,2758,9,"{""ls"": 1, ""cat"": 3, ""prog"": 1, ""gdb"": 1, ""echo"": 3}",0
crashbench-abo5__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,10,1,1,ok,14.266,0,,,,,,4190,479,2,"{""ls"": 1, ""echo"": 1}",0
crashbench-abo5__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,crashbench-abo5,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,294.558,-1,,,,,,0,0,0,,0
crashbench-abo5__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,crashbench-abo5,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,ok,51.975,0,,,,,,13897,2001,6,"{""ls"": 1, ""prog"": 2, ""gdb"": 1, ""nl"": 1, ""echo"": 1}",0
crashbench-abo5__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,crashbench-abo5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,timeout,294.28,-1,,,,,,0,0,0,,0
crashbench-abo5__tier2__openrouter_anthropic_claude-sonnet-4.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,10,2,1,ok,124.594,0,,,,,,43232,2293,11,"{""nl"": 1, ""run"": 1, ""interrupt"": 1, ""cat"": 2, ""file"": 1, ""timeout"": 1, ""echo"": 3, ""grep"": 1}",0
crashbench-abo5__tier2__openrouter_google_gemini-3.1-flash-lite-preview__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,10,2,1,ok,15.778,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,10375,331,4,"{""nl"": 1, ""run"": 1, ""#"": 1, ""echo"": 1}",0
crashbench-abo5__tier2__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo5,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,10,2,1,timeout,296.588,-1,,,,,,0,0,0,,0
crashbench-abo5__tier2__openrouter_openai_gpt-5.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo5,openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,10,2,1,ok,53.506,0,,,,,,14046,1534,5,"{""nl"": 1, ""run"": 1, ""break"": 1, ""print"": 1, ""echo"": 1}",0
crashbench-abo5__tier2__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,10,2,1,timeout,293.857,-1,,,,,,0,0,0,,0
crashbench-abo5__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,tier3_gdb_only.json,10,3,1,ok,61.538,0,,,,,,0,0,9,"{""bt"": 1, ""info"": 3, ""run"": 1, ""list"": 1, ""code"": 2, ""print"": 1}",0
crashbench-abo5__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,tier3_gdb_only.json,10,3,1,ok,58.956,0,,,,,,6162,422,19,"{""run"": 2, ""start"": 1, ""set"": 1, ""list"": 4, ""break"": 1, ""n"": 1, ""code"": 3, ""info"": 2, ""gdb"": 2, ""disassemble"": 1, ""x/20i"": 1}",233
crashbench-abo5__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,crashbench-abo5,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,ok,39.945,0,,,,,,0,0,0,{},0
crashbench-abo5__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,crashbench-abo5,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,ok,101.587,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,0,0,9,"{""bt"": 1, ""info"": 3, ""shell"": 1, ""code"": 4}",0
crashbench-abo5__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,crashbench-abo5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,ok,11.572,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,1367,20,3,"{""info"": 1, ""run"": 1, ""set"": 1}",0
crashbench-abo5__tier4__haiku__tier4_claude_code__ctx10__t1,crashbench-abo5,haiku,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo5__tier4__sonnet__tier4_claude_code__ctx10__t1,crashbench-abo5,sonnet,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo7__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,10,1,1,ok,39.061,0,,,,,,22249,1772,7,"{""ls"": 1, ""cat"": 2, ""prog"": 1, ""echo"": 2, ""gdb"": 1}",0
crashbench-abo7__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,10,1,1,ok,13.33,0,,,,,,2017,358,2,"{""ls"": 1, ""echo"": 1}",0
crashbench-abo7__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,crashbench-abo7,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,296.628,-1,,,,,,0,0,0,,0
crashbench-abo7__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,crashbench-abo7,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,ok,28.234,0,,,,,,7855,1318,5,"{""ls"": 1, ""prog"": 1, ""nl"": 1, ""gdb"": 1, ""echo"": 1}",0
crashbench-abo7__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,16.662,0,,,,,,10682,730,5,"{""ls"": 1, ""cat"": 1, ""prog"": 1, ""gdb"": 1, ""echo"": 1}",0
crashbench-abo7__tier2__openrouter_anthropic_claude-sonnet-4.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,10,2,1,ok,69.129,0,,,,,,30932,1319,8,"{""nl"": 1, ""run"": 1, ""echo"": 3, ""grep"": 1, ""cat"": 1, ""info"": 1}",0
crashbench-abo7__tier2__openrouter_google_gemini-3.1-flash-lite-preview__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,10,2,1,ok,11.723,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,5857,98,3,"{""nl"": 1, ""run"": 1, ""echo"": 1}",0
crashbench-abo7__tier2__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo7,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,10,2,1,timeout,297.19,-1,,,,,,0,0,0,,0
crashbench-abo7__tier2__openrouter_openai_gpt-5.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo7,openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,10,2,1,ok,31.484,0,,,,,,11844,950,5,"{""nl"": 1, ""run"": 1, ""break"": 1, ""p"": 1, ""echo"": 1}",0
crashbench-abo7__tier2__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,10,2,1,ok,11.428,0,,,,,,6245,624,3,"{""nl"": 1, ""run"": 1, ""echo"": 1}",0
crashbench-abo7__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,tier3_gdb_only.json,10,3,1,ok,156.429,0,,,,,,12728,1278,24,"{""info"": 9, ""backtrace"": 1, ""run"": 1, ""where"": 1, ""frame"": 1, ""list"": 2, ""print"": 4, ""x/64x"": 1, ""code"": 2, ""show"": 1, ""disassemble"": 1}",701
crashbench-abo7__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,tier3_gdb_only.json,10,3,1,ok,33.843,0,,,,,,3542,379,27,"{""run"": 7, ""start"": 2, ""info"": 1, ""gdb"": 3, ""file"": 1, ""list"": 2, ""code"": 2, ""set"": 2, ""r"": 1, ""break"": 1, ""b"": 1, ""print"": 2, ""p"": 1, ""help"": 1}",67
crashbench-abo7__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,crashbench-abo7,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,ok,184.819,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,0,0,7,"{""bt"": 2, ""code"": 4, ""list"": 1}",0
crashbench-abo7__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,crashbench-abo7,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,ok,46.385,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,5849,19,10,"{""bt"": 1, ""info"": 3, ""run"": 1, ""pwd"": 1, ""code"": 2, ""list"": 1, ""break"": 1}",0
crashbench-abo7__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,ok,11.626,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,4066,19,4,"{""info"": 1, ""break"": 3}",0
crashbench-abo7__tier4__haiku__tier4_claude_code__ctx10__t1,crashbench-abo7,haiku,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
