case_id,status,elapsed_s,exit_code,tool_calls,response_len,has_rc,has_lf,has_gf,model
test-pointers,ok,31.263,0,6,841,True,True,True,google gemini 3 1 flash lite preview
test-stack-overflow,ok,19.138,0,6,828,True,True,True,google gemini 3 1 flash lite preview
test-use-after-free,ok,12.284,0,5,0,False,False,False,google gemini 3 1 flash lite preview
vector-iter-after-pushback,ok,10.444,0,4,0,False,False,False,google gemini 3 1 flash lite preview
cjson-parse-string-oob,ok,115.077,0,16,4321,True,True,True,meta llama llama 3 1 8b instruct
double-free-errpath,ok,86.872,0,13,10923,True,True,True,meta llama llama 3 1 8b instruct
heap-overflow-csv,timeout,582.063,-1,,0,False,False,False,meta llama llama 3 1 8b instruct
intoverflow-alloc,ok,20.056,0,5,1636,True,True,True,meta llama llama 3 1 8b instruct
null-deref-env,ok,45.622,0,8,3825,True,True,True,meta llama llama 3 1 8b instruct
off-by-one-crc,ok,422.426,0,97,42438,True,True,True,meta llama llama 3 1 8b instruct
shift-int-overflow,ok,19.083,0,2,1743,True,True,True,meta llama llama 3 1 8b instruct
signed-unsigned-loop,ok,20.145,0,5,1670,True,True,True,meta llama llama 3 1 8b instruct
stack-buffer-overflow-strcpy,ok,138.15,0,23,14641,True,True,True,meta llama llama 3 1 8b instruct
test-deep-recursion,ok,402.661,0,99,40719,False,False,False,meta llama llama 3 1 8b instruct
test-definition-likely,ok,51.017,0,6,5504,True,True,True,meta llama llama 3 1 8b instruct
test-failed-assert,ok,321.479,0,66,12337,True,True,True,meta llama llama 3 1 8b instruct
test-out-of-bounds-read,ok,26.151,0,2,2738,True,True,True,meta llama llama 3 1 8b instruct
test-overflow,ok,167.21,0,99,2708,True,True,True,meta llama llama 3 1 8b instruct
test-pointers-loop,ok,67.23,0,8,7835,True,True,True,meta llama llama 3 1 8b instruct
test-pointers,ok,82.521,0,17,8385,True,True,True,meta llama llama 3 1 8b instruct
test-stack-overflow,ok,515.093,0,12,12871,True,True,True,meta llama llama 3 1 8b instruct
test-use-after-free,ok,29.205,0,2,2692,False,False,False,meta llama llama 3 1 8b instruct
uaf-linked-list,ok,12.017,0,5,1321,True,True,True,meta llama llama 3 1 8b instruct
vector-iter-after-pushback,timeout,580.985,-1,,0,False,False,False,meta llama llama 3 1 8b instruct
cjson-parse-string-oob,timeout,578.007,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
heap-overflow-csv,ok,188.807,0,4,719,True,True,True,nvidia nemotron 3 nano 30b a3b
null-deref-env,timeout,578.114,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
shift-int-overflow,timeout,577.967,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
signed-unsigned-loop,timeout,578.088,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
stack-buffer-overflow-strcpy,timeout,578.087,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-deep-recursion,timeout,578.069,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-definition-likely,timeout,578.099,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-failed-assert,timeout,577.688,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-out-of-bounds-read,timeout,577.056,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-overflow,timeout,577.063,-1,6,764,True,True,True,nvidia nemotron 3 nano 30b a3b
test-pointers-loop,timeout,577.011,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-pointers,timeout,577.047,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-stack-overflow,timeout,577.028,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
test-use-after-free,timeout,577.043,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
vector-iter-after-pushback,timeout,577.041,-1,,0,False,False,False,nvidia nemotron 3 nano 30b a3b
cjson-parse-string-oob,ok,69.193,0,8,2643,True,True,True,openai gpt 4o
double-free-errpath,timeout,576.463,-1,,0,False,False,False,openai gpt 4o
heap-overflow-csv,timeout,576.462,-1,,0,False,False,False,openai gpt 4o
intoverflow-alloc,ok,23.975,0,4,1856,True,True,True,openai gpt 4o
null-deref-env,ok,418.304,0,3,0,False,False,False,openai gpt 4o
off-by-one-crc,ok,438.24,0,3,0,False,False,False,openai gpt 4o
shift-int-overflow,ok,475.371,0,3,0,False,False,False,openai gpt 4o
signed-unsigned-loop,ok,129.521,0,4,1474,True,True,True,openai gpt 4o
stack-buffer-overflow-strcpy,ok,500.029,0,3,0,False,False,False,openai gpt 4o
test-deep-recursion,ok,424.651,0,3,0,False,False,False,openai gpt 4o
test-definition-likely,ok,341.518,0,3,0,False,False,False,openai gpt 4o
test-failed-assert,timeout,575.997,-1,,0,False,False,False,openai gpt 4o
test-out-of-bounds-read,ok,13.253,0,4,1560,True,True,True,openai gpt 4o
test-overflow,ok,16.741,0,4,1741,True,True,True,openai gpt 4o
test-pointers-loop,ok,25.761,0,4,1236,True,True,True,openai gpt 4o
test-pointers,timeout,576.057,-1,,0,False,False,False,openai gpt 4o
test-stack-overflow,ok,17.328,0,3,1214,True,True,True,openai gpt 4o
test-use-after-free,ok,423.043,0,3,0,False,False,False,openai gpt 4o
uaf-linked-list,ok,460.438,0,3,0,False,False,False,openai gpt 4o
vector-iter-after-pushback,ok,501.942,0,3,0,False,False,False,openai gpt 4o
cjson-parse-string-oob,ok,39.848,0,12,3556,True,True,True,openai gpt 5 5
shift-int-overflow,ok,30.887,0,3,2531,True,True,True,openai gpt 5 5
stack-buffer-overflow-strcpy,ok,22.779,0,4,2097,True,True,True,openai gpt 5 5
test-deep-recursion,ok,22.19,0,4,2064,True,True,True,openai gpt 5 5
test-definition-likely,ok,29.651,0,4,2160,True,True,True,openai gpt 5 5
test-failed-assert,ok,30.838,0,5,2132,True,True,True,openai gpt 5 5
test-out-of-bounds-read,ok,29.264,0,3,2203,True,True,True,openai gpt 5 5
test-overflow,ok,50.65,0,12,3847,True,True,True,openai gpt 5 5
test-pointers-loop,ok,26.746,0,5,2170,True,True,True,openai gpt 5 5
test-pointers,ok,24.007,0,5,1980,True,True,True,openai gpt 5 5
test-stack-overflow,ok,28.272,0,3,2703,True,True,True,openai gpt 5 5
test-use-after-free,ok,32.14,0,4,2507,True,True,True,openai gpt 5 5
cjson-parse-string-oob,timeout,2375.789,-1,,0,False,False,False,qwen qwen3 30b a3b instruct 2507
shift-int-overflow,ok,36.448,0,5,1742,True,True,True,qwen qwen3 30b a3b instruct 2507
stack-buffer-overflow-strcpy,ok,41.077,0,8,0,False,False,False,qwen qwen3 30b a3b instruct 2507
test-deep-recursion,ok,37.803,0,5,1346,True,True,True,qwen qwen3 30b a3b instruct 2507
test-definition-likely,ok,32.557,0,4,2637,True,True,True,qwen qwen3 30b a3b instruct 2507
test-failed-assert,ok,31.849,0,5,1349,True,True,True,qwen qwen3 30b a3b instruct 2507
test-out-of-bounds-read,ok,28.833,0,5,0,False,False,False,qwen qwen3 30b a3b instruct 2507
test-overflow,ok,2211.75,0,4,3422,True,True,True,qwen qwen3 30b a3b instruct 2507
test-pointers-loop,ok,31.161,0,5,1374,True,True,True,qwen qwen3 30b a3b instruct 2507
test-pointers,ok,26.563,0,5,1307,True,True,True,qwen qwen3 30b a3b instruct 2507
test-stack-overflow,ok,2191.794,0,4,0,False,False,False,qwen qwen3 30b a3b instruct 2507
test-use-after-free,ok,25.951,0,4,2609,True,True,True,qwen qwen3 30b a3b instruct 2507
cjson-parse-string-oob,ok,66.381,0,6,1621,True,True,True,x ai grok 4
heap-overflow-csv,ok,44.576,0,4,1429,True,True,True,x ai grok 4
null-deref-env,ok,123.169,0,12,1956,True,True,True,x ai grok 4
shift-int-overflow,timeout,1578.124,-1,,0,False,False,False,x ai grok 4
signed-unsigned-loop,ok,127.807,0,6,2118,True,True,True,x ai grok 4
stack-buffer-overflow-strcpy,ok,62.633,0,5,2166,True,True,True,x ai grok 4
test-deep-recursion,ok,65.432,0,5,1502,True,True,True,x ai grok 4
test-definition-likely,ok,46.367,0,5,1607,True,True,True,x ai grok 4
test-failed-assert,ok,79.272,0,5,1734,True,True,True,x ai grok 4
test-out-of-bounds-read,ok,47.439,0,4,1751,True,True,True,x ai grok 4
test-overflow,ok,1332.042,0,12,1638,True,True,True,x ai grok 4
test-pointers-loop,ok,58.333,0,5,1738,True,True,True,x ai grok 4
test-pointers,ok,41.603,0,4,342,False,False,False,x ai grok 4
test-stack-overflow,ok,1322.352,0,4,0,False,False,False,x ai grok 4
test-use-after-free,timeout,1578.398,-1,,0,False,False,False,x ai grok 4
vector-iter-after-pushback,ok,41.145,0,5,742,True,True,True,x ai grok 4
