# Missing synthetic cells — need fresh model runs
# Total: 209
# Format: <case> | T<tier> | <model>

cjson-parse-string-oob                         | T1 | openrouter/anthropic/claude-sonnet-4.5
off-by-one-crc                                 | T1 | openrouter/openai/gpt-4o
off-by-one-crc                                 | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
off-by-one-crc                                 | T3 | openrouter/openai/gpt-4o
shift-int-overflow                             | T1 | openrouter/anthropic/claude-sonnet-4.5
shift-int-overflow                             | T1 | openrouter/google/gemini-3.1-flash-lite-preview
shift-int-overflow                             | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
shift-int-overflow                             | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
shift-int-overflow                             | T1 | openrouter/openai/gpt-4o
shift-int-overflow                             | T1 | openrouter/openai/gpt-5.5
shift-int-overflow                             | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
shift-int-overflow                             | T1 | openrouter/x-ai/grok-4
shift-int-overflow                             | T3 | openrouter/anthropic/claude-sonnet-4.5
shift-int-overflow                             | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
shift-int-overflow                             | T3 | openrouter/openai/gpt-4o
shift-int-overflow                             | T3 | openrouter/x-ai/grok-4
signed-unsigned-loop                           | T1 | openrouter/anthropic/claude-sonnet-4.5
signed-unsigned-loop                           | T1 | openrouter/google/gemini-3.1-flash-lite-preview
signed-unsigned-loop                           | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
signed-unsigned-loop                           | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
signed-unsigned-loop                           | T1 | openrouter/openai/gpt-4o
signed-unsigned-loop                           | T1 | openrouter/x-ai/grok-4
signed-unsigned-loop                           | T3 | openrouter/anthropic/claude-sonnet-4.5
signed-unsigned-loop                           | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
signed-unsigned-loop                           | T3 | openrouter/openai/gpt-4o
signed-unsigned-loop                           | T3 | openrouter/x-ai/grok-4
stack-buffer-overflow-strcpy                   | T1 | openrouter/anthropic/claude-sonnet-4.5
stack-buffer-overflow-strcpy                   | T1 | openrouter/google/gemini-3.1-flash-lite-preview
stack-buffer-overflow-strcpy                   | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
stack-buffer-overflow-strcpy                   | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
stack-buffer-overflow-strcpy                   | T1 | openrouter/openai/gpt-4o
stack-buffer-overflow-strcpy                   | T1 | openrouter/openai/gpt-5.5
stack-buffer-overflow-strcpy                   | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
stack-buffer-overflow-strcpy                   | T1 | openrouter/x-ai/grok-4
stack-buffer-overflow-strcpy                   | T3 | openrouter/anthropic/claude-sonnet-4.5
stack-buffer-overflow-strcpy                   | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
stack-buffer-overflow-strcpy                   | T3 | openrouter/openai/gpt-4o
stack-buffer-overflow-strcpy                   | T3 | openrouter/x-ai/grok-4
test-deep-recursion                            | T1 | openrouter/anthropic/claude-sonnet-4.5
test-deep-recursion                            | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-deep-recursion                            | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-deep-recursion                            | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-deep-recursion                            | T1 | openrouter/openai/gpt-4o
test-deep-recursion                            | T1 | openrouter/openai/gpt-5.5
test-deep-recursion                            | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-deep-recursion                            | T1 | openrouter/x-ai/grok-4
test-deep-recursion                            | T3 | openrouter/anthropic/claude-sonnet-4.5
test-deep-recursion                            | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-deep-recursion                            | T3 | openrouter/openai/gpt-4o
test-deep-recursion                            | T3 | openrouter/x-ai/grok-4
test-definition-likely                         | T1 | openrouter/anthropic/claude-sonnet-4.5
test-definition-likely                         | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-definition-likely                         | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-definition-likely                         | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-definition-likely                         | T1 | openrouter/openai/gpt-4o
test-definition-likely                         | T1 | openrouter/openai/gpt-5.5
test-definition-likely                         | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-definition-likely                         | T1 | openrouter/x-ai/grok-4
test-definition-likely                         | T3 | openrouter/anthropic/claude-sonnet-4.5
test-definition-likely                         | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-definition-likely                         | T3 | openrouter/openai/gpt-4o
test-definition-likely                         | T3 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-definition-likely                         | T3 | openrouter/x-ai/grok-4
test-failed-assert                             | T1 | openrouter/anthropic/claude-sonnet-4.5
test-failed-assert                             | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-failed-assert                             | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-failed-assert                             | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-failed-assert                             | T1 | openrouter/openai/gpt-4o
test-failed-assert                             | T1 | openrouter/openai/gpt-5.5
test-failed-assert                             | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-failed-assert                             | T1 | openrouter/x-ai/grok-4
test-failed-assert                             | T3 | openrouter/anthropic/claude-sonnet-4.5
test-failed-assert                             | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-failed-assert                             | T3 | openrouter/openai/gpt-4o
test-failed-assert                             | T3 | openrouter/x-ai/grok-4
test-out-of-bounds-read                        | T1 | openrouter/anthropic/claude-sonnet-4.5
test-out-of-bounds-read                        | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-out-of-bounds-read                        | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-out-of-bounds-read                        | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-out-of-bounds-read                        | T1 | openrouter/openai/gpt-4o
test-out-of-bounds-read                        | T1 | openrouter/openai/gpt-5.5
test-out-of-bounds-read                        | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-out-of-bounds-read                        | T1 | openrouter/x-ai/grok-4
test-out-of-bounds-read                        | T3 | openrouter/anthropic/claude-sonnet-4.5
test-out-of-bounds-read                        | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-out-of-bounds-read                        | T3 | openrouter/openai/gpt-4o
test-out-of-bounds-read                        | T3 | openrouter/x-ai/grok-4
test-overflow                                  | T1 | openrouter/anthropic/claude-sonnet-4.5
test-overflow                                  | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-overflow                                  | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-overflow                                  | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-overflow                                  | T1 | openrouter/openai/gpt-4o
test-overflow                                  | T1 | openrouter/openai/gpt-5.5
test-overflow                                  | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-overflow                                  | T1 | openrouter/x-ai/grok-4
test-overflow                                  | T3 | openrouter/anthropic/claude-sonnet-4.5
test-overflow                                  | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-overflow                                  | T3 | openrouter/openai/gpt-4o
test-overflow                                  | T3 | openrouter/x-ai/grok-4
test-pointers                                  | T1 | openrouter/anthropic/claude-sonnet-4.5
test-pointers                                  | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-pointers                                  | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-pointers                                  | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-pointers                                  | T1 | openrouter/openai/gpt-4o
test-pointers                                  | T1 | openrouter/openai/gpt-5.5
test-pointers                                  | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-pointers                                  | T1 | openrouter/x-ai/grok-4
test-pointers                                  | T3 | openrouter/anthropic/claude-sonnet-4.5
test-pointers                                  | T3 | openrouter/google/gemini-3.1-flash-lite-preview
test-pointers                                  | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-pointers                                  | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-pointers                                  | T3 | openrouter/openai/gpt-4o
test-pointers                                  | T3 | openrouter/openai/gpt-5.5
test-pointers                                  | T3 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-pointers                                  | T3 | openrouter/x-ai/grok-4
test-pointers-loop                             | T1 | openrouter/anthropic/claude-sonnet-4.5
test-pointers-loop                             | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-pointers-loop                             | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-pointers-loop                             | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-pointers-loop                             | T1 | openrouter/openai/gpt-4o
test-pointers-loop                             | T1 | openrouter/openai/gpt-5.5
test-pointers-loop                             | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-pointers-loop                             | T1 | openrouter/x-ai/grok-4
test-pointers-loop                             | T3 | openrouter/anthropic/claude-sonnet-4.5
test-pointers-loop                             | T3 | openrouter/google/gemini-3.1-flash-lite-preview
test-pointers-loop                             | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-pointers-loop                             | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-pointers-loop                             | T3 | openrouter/openai/gpt-4o
test-pointers-loop                             | T3 | openrouter/openai/gpt-5.5
test-pointers-loop                             | T3 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-pointers-loop                             | T3 | openrouter/x-ai/grok-4
test-stack-overflow                            | T1 | openrouter/anthropic/claude-sonnet-4.5
test-stack-overflow                            | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-stack-overflow                            | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-stack-overflow                            | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-stack-overflow                            | T1 | openrouter/openai/gpt-4o
test-stack-overflow                            | T1 | openrouter/openai/gpt-5.5
test-stack-overflow                            | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-stack-overflow                            | T1 | openrouter/x-ai/grok-4
test-stack-overflow                            | T3 | openrouter/anthropic/claude-sonnet-4.5
test-stack-overflow                            | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-stack-overflow                            | T3 | openrouter/openai/gpt-4o
test-stack-overflow                            | T3 | openrouter/x-ai/grok-4
test-use-after-free                            | T1 | openrouter/anthropic/claude-sonnet-4.5
test-use-after-free                            | T1 | openrouter/google/gemini-3.1-flash-lite-preview
test-use-after-free                            | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
test-use-after-free                            | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
test-use-after-free                            | T1 | openrouter/openai/gpt-4o
test-use-after-free                            | T1 | openrouter/openai/gpt-5.5
test-use-after-free                            | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
test-use-after-free                            | T1 | openrouter/x-ai/grok-4
test-use-after-free                            | T3 | openrouter/anthropic/claude-sonnet-4.5
test-use-after-free                            | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
test-use-after-free                            | T3 | openrouter/openai/gpt-4o
test-use-after-free                            | T3 | openrouter/x-ai/grok-4
uaf-linked-list                                | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
uaf-linked-list                                | T1 | openrouter/openai/gpt-4o
uaf-linked-list                                | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
uaf-linked-list                                | T3 | openrouter/openai/gpt-4o
vector-iter-after-pushback                     | T1 | openrouter/anthropic/claude-sonnet-4.5
vector-iter-after-pushback                     | T1 | openrouter/google/gemini-3.1-flash-lite-preview
vector-iter-after-pushback                     | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
vector-iter-after-pushback                     | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
vector-iter-after-pushback                     | T1 | openrouter/openai/gpt-4o
vector-iter-after-pushback                     | T1 | openrouter/x-ai/grok-4
vector-iter-after-pushback                     | T3 | openrouter/anthropic/claude-sonnet-4.5
vector-iter-after-pushback                     | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
vector-iter-after-pushback                     | T3 | openrouter/openai/gpt-4o
vector-iter-after-pushback                     | T3 | openrouter/x-ai/grok-4
